schema_version,analysis_id,source_experiment,target_experiment,direction,population,source_step8a_sha256,target_step8a_sha256,block_size_cells,block_nominal_scale,n_outer_folds,estimator_random_state,model_family,model_role,metric,metric_orientation,budget_blocks,n_repeats,raw_value,fewshot_value,ceiling_value,raw_oriented,fewshot_oriented,ceiling_oriented,absolute_recovery,ceiling_gap,recovery_fraction,recovery_fraction_status,denominator_near_zero,ceiling_not_above_raw,recovery_negative,recovery_above_ceiling,selection_median,selection_interval_lower,selection_interval_upper,selection_min,selection_max,n_repeats_observed,recovery_fraction_selection_median,recovery_fraction_selection_lower,recovery_fraction_selection_upper,mean_adaptation_row_count,mean_adaptation_positive_count,mean_n_blocks_tier_a,mean_n_blocks_tier_b,mean_n_blocks_tier_c
few_shot_recovery.v1,7e4ca051c3e83074391652e28a163138129c1cb6610f8826248a90cd3d19409a,bejis_2022,manavgat_2021,bejis_2022_to_manavgat_2021,burnable_tree_shrub_grass,3dec785a7d8e31db2d67ed283546bbfbca1559f56df46663488d0afc24d9e393,054a1961fc0582a33d36413263668b63074b21ae8b03d12269b6e228787f3439,10,approximately_5_km,5,42,baseline,secondary,roc_auc,higher_is_better,32,10,0.420907601774425,0.5741385537588077,0.7475502988238435,0.420907601774425,0.5741385537588077,0.7475502988238435,0.15323095198438275,0.3266426970494185,0.4691087643119726,interpretable,false,false,false,false,0.5741385537588077,0.5657467964501155,0.5776906552179598,0.5648880820133599,0.5782724689460109,10,0.4691087643119727,0.4434178262181613,0.47998334222612277,3012.1,627.0,21.0,2.0,10.0
few_shot_recovery.v1,7e4ca051c3e83074391652e28a163138129c1cb6610f8826248a90cd3d19409a,bejis_2022,manavgat_2021,bejis_2022_to_manavgat_2021,burnable_tree_shrub_grass,3dec785a7d8e31db2d67ed283546bbfbca1559f56df46663488d0afc24d9e393,054a1961fc0582a33d36413263668b63074b21ae8b03d12269b6e228787f3439,10,approximately_5_km,5,42,thermal,primary,brier_score,lower_is_better_oriented_by_negation,0,1,0.0891978888322011,0.0891978888322011,0.0550903044155172,-0.0891978888322011,-0.0891978888322011,-0.0550903044155172,0.0,0.034107584416683906,0.0,interpretable,false,false,false,false,0.0891978888322011,0.0891978888322011,0.0891978888322011,0.0891978888322011,0.0891978888322011,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
few_shot_recovery.v1,7e4ca051c3e83074391652e28a163138129c1cb6610f8826248a90cd3d19409a,bejis_2022,manavgat_2021,bejis_2022_to_manavgat_2021,burnable_tree_shrub_grass,3dec785a7d8e31db2d67ed283546bbfbca1559f56df46663488d0afc24d9e393,054a1961fc0582a33d36413263668b63074b21ae8b03d12269b6e228787f3439,10,approximately_5_km,5,42,thermal,primary,brier_score,lower_is_better_oriented_by_negation,1,10,0.0891978888322011,0.0986984641605156,0.0550903044155172,-0.0891978888322011,-0.0986984641605156,-0.0550903044155172,-0.009500575328314498,0.034107584416683906,-0.27854729353589874,interpretable,false,false,true,false,0.0986984641605156,0.08436348218074215,0.12298076730408705,0.0824573761639633,0.1235763950962692,10,-0.27854729353589874,-0.9904799489512036,0.14173993069688562,97.4,15.5,1.0,0.0,0.0
few_shot_recovery.v1,7e4ca051c3e83074391652e28a163138129c1cb6610f8826248a90cd3d19409a,bejis_2022,manavgat_2021,bejis_2022_to_manavgat_2021,burnable_tree_shrub_grass,3dec785a7d8e31db2d67ed283546bbfbca1559f56df46663488d0afc24d9e393,054a1961fc0582a33d36413263668b63074b21ae8b03d12269b6e228787f3439,10,approximately_5_km,5,42,thermal,primary,brier_score,lower_is_better_oriented_by_negation,2,10,0.0891978888322011,0.11030471505370085,0.0550903044155172,-0.0891978888322011,-0.11030471505370085,-0.0550903044155172,-0.021106826221499744,0.034107584416683906,-0.6188308724429992,interpretable,false,false,true,false,0.11030471505370085,0.08512811246846015,0.16252493369868928,0.0829677313550261,0.1665745680397098,10,-0.6188308724429992,-2.1498750533215674,0.11932174128843322,195.5,34.3,2.0,0.0,0.0
few_shot_recovery.v1,7e4ca051c3e83074391652e28a163138129c1cb6610f8826248a90cd3d19409a,bejis_2022,manavgat_2021,bejis_2022_to_manavgat_2021,burnable_tree_shrub_grass,3dec785a7d8e31db2d67ed283546bbfbca1559f56df46663488d0afc24d9e393,054a1961fc0582a33d36413263668b63074b21ae8b03d12269b6e228787f3439,10,approximately_5_km,5,42,thermal,primary,brier_score,lower_is_better_oriented_by_negation,4,10,0.0891978888322011,0.13345401542938135,0.0550903044155172,-0.0891978888322011,-0.13345401542938135,-0.0550903044155172,-0.04425612659718024,0.034107584416683906,-1.2975450285928816,interpretable,false,false,true,false,0.13345401542938135,0.10590723415806344,0.1960455315757093,0.105469431381565,0.2058693096715225,10,-1.2975450285928816,-3.1326651995690176,-0.48990116455414723,391.7,82.2,4.0,0.0,0.0
few_shot_recovery.v1,7e4ca051c3e83074391652e28a163138129c1cb6610f8826248a90cd3d19409a,bejis_2022,manavgat_2021,bejis_2022_to_manavgat_2021,burnable_tree_shrub_grass,3dec785a7d8e31db2d67ed283546bbfbca1559f56df46663488d0afc24d9e393,054a1961fc0582a33d36413263668b63074b21ae8b03d12269b6e228787f3439,10,approximately_5_km,5,42,thermal,primary,brier_score,lower_is_better_oriented_by_negation,8,10,0.0891978888322011,0.15367945556732887,0.0550903044155172,-0.0891978888322011,-0.15367945556732887,-0.0550903044155172,-0.06448156673512777,0.034107584416683906,-1.8905345493651045,interpretable,false,false,true,false,0.15367945556732887,0.14147919039639728,0.18723585702671325,0.1406001960216926,0.1924869872523723,10,-1.8905345493651042,-2.8743744205630803,-1.532835070507734,783.4,171.2,8.0,0.0,0.0
few_shot_recovery.v1,7e4ca051c3e83074391652e28a163138129c1cb6610f8826248a90cd3d19409a,bejis_2022,manavgat_2021,bejis_2022_to_manavgat_2021,burnable_tree_shrub_grass,3dec785a7d8e31db2d67ed283546bbfbca1559f56df46663488d0afc24d9e393,054a1961fc0582a33d36413263668b63074b21ae8b03d12269b6e228787f3439,10,approximately_5_km,5,42,thermal,primary,brier_score,lower_is_better_oriented_by_negation,16,10,0.0891978888322011,0.17331925243100949,0.0550903044155172,-0.0891978888322011,-0.17331925243100949,-0.0550903044155172,-0.08412136359880838,0.034107584416683906,-2.4663535995724155,interpretable,false,false,true,false,0.17331925243100949,0.16220300271124113,0.1927879661378361,0.1615786057370691,0.1928100387702185,10,-2.4663535995724164,-3.0371566640457646,-2.140436361225546,1559.9,384.1,15.0,0.0,1.0
few_shot_recovery.v1,7e4ca051c3e83074391652e28a163138129c1cb6610f8826248a90cd3d19409a,bejis_2022,manavgat_2021,bejis_2022_to_manavgat_2021,burnable_tree_shrub_grass,3dec785a7d8e31db2d67ed283546bbfbca1559f56df46663488d0afc24d9e393,054a1961fc0582a33d36413263668b63074b21ae8b03d12269b6e228787f3439,10,approximately_5_km,5,42,thermal,primary,brier_score,lower_is_better_oriented_by_negation,32,10,0.0891978888322011,0.1474924483361012,0.0550903044155172,-0.0891978888322011,-0.1474924483361012,-0.0550903044155172,-0.0582945595039001,0.034107584416683906,-1.7091377328787025,interpretable,false,false,true,false,0.1474924483361012,0.14275324044330806,0.15204326261451337,0.1425905779787756,0.1522224380360528,10,-1.7091377328787027,-1.8425630210145023,-1.5701889338404766,3012.1,627.0,21.0,2.0,10.0
few_shot_recovery.v1,7e4ca051c3e83074391652e28a163138129c1cb6610f8826248a90cd3d19409a,bejis_2022,manavgat_2021,bejis_2022_to_manavgat_2021,burnable_tree_shrub_grass,3dec785a7d8e31db2d67ed283546bbfbca1559f56df46663488d0afc24d9e393,054a1961fc0582a33d36413263668b63074b21ae8b03d12269b6e228787f3439,10,approximately_5_km,5,42,thermal,primary,pr_auc,higher_is_better,0,1,0.034406342979776,0.034406342979776,0.1356418692841229,0.034406342979776,0.034406342979776,0.1356418692841229,0.0,0.10123552630434689,0.0,interpretable,false,false,false,false,0.034406342979776,0.034406342979776,0.034406342979776,0.034406342979776,0.034406342979776,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
few_shot_recovery.v1,7e4ca051c3e83074391652e28a163138129c1cb6610f8826248a90cd3d19409a,bejis_2022,manavgat_2021,bejis_2022_to_manavgat_2021,burnable_tree_shrub_grass,3dec785a7d8e31db2d67ed283546bbfbca1559f56df46663488d0afc24d9e393,054a1961fc0582a33d36413263668b63074b21ae8b03d12269b6e228787f3439,10,approximately_5_km,5,42,thermal,primary,pr_auc,higher_is_better,1,10,0.034406342979776,0.036776112278609205,0.1356418692841229,0.034406342979776,0.036776112278609205,0.1356418692841229,0.002369769298833202,0.10123552630434689,0.023408475120768428,interpretable,false,false,false,false,0.036776112278609205,0.03070264295034055,0.04263392706885837,0.0306310183527491,0.0434759200402901,10,0.023408475120768393,-0.03658498320343517,0.08127170756585571,97.4,15.5,1.0,0.0,0.0
